epoch,auc,binary_accuracy,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_auc,val_binary_accuracy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.7794692516326904,0.7807154059410095,9.0,132.0,0.45433318614959717,0.7908082604408264,0.9822834730148315,3.0,499.0,0.9758412837982178,0.762499988079071,0.0,38.0,0.4365825057029724,0.762499988079071,1.0,0.0,122.0
1,0.9539953470230103,0.7900466322898865,0.0,135.0,0.36752182245254517,0.7900466322898865,1.0,0.0,508.0,0.9626833200454712,0.762499988079071,0.0,38.0,0.3965137302875519,0.762499988079071,1.0,0.0,122.0
2,0.9525954723358154,0.8071539402008057,0.0,124.0,0.316194087266922,0.8037974834442139,1.0,11.0,508.0,0.9457506537437439,0.78125,0.0,35.0,0.3483433127403259,0.7770700454711914,1.0,3.0,122.0
3,0.9583041071891785,0.9004665613174438,1.0,63.0,0.24529525637626648,0.8894736766815186,0.998031497001648,72.0,507.0,0.9385245442390442,0.875,0.0,20.0,0.28599822521209717,0.8591549396514893,1.0,18.0,122.0
4,0.9565398097038269,0.9502332806587219,1.0,31.0,0.1956281214952469,0.9423791766166687,0.998031497001648,104.0,507.0,0.9471527338027954,0.9125000238418579,0.0,14.0,0.24508745968341827,0.8970588445663452,1.0,24.0,122.0
5,0.9510571360588074,0.9704509973526001,1.0,18.0,0.16833733022212982,0.9657142758369446,0.998031497001648,117.0,507.0,0.9516825079917908,0.9624999761581421,0.0,6.0,0.21466688811779022,0.953125,1.0,32.0,122.0
6,0.9578521847724915,0.9735614061355591,1.0,16.0,0.14127789437770844,0.9694072604179382,0.998031497001648,119.0,507.0,0.9557808041572571,0.9624999761581421,0.0,6.0,0.19312162697315216,0.953125,1.0,32.0,122.0
7,0.9590842127799988,0.9735614061355591,2.0,15.0,0.13368800282478333,0.9712092280387878,0.9960629940032959,120.0,506.0,0.9577221870422363,0.9624999761581421,0.0,6.0,0.18883630633354187,0.953125,1.0,32.0,122.0
8,0.9605497717857361,0.9766718745231628,2.0,13.0,0.12668476998806,0.9749518036842346,0.9960629940032959,122.0,506.0,0.9442407488822937,0.9624999761581421,0.0,6.0,0.18408510088920593,0.953125,1.0,32.0,122.0
9,0.9599226713180542,0.9766718745231628,2.0,13.0,0.12500189244747162,0.9749518036842346,0.9960629940032959,122.0,506.0,0.9518981575965881,0.9624999761581421,0.0,6.0,0.17919784784317017,0.953125,1.0,32.0,122.0
10,0.9622630476951599,0.9751166701316833,2.0,14.0,0.1243516057729721,0.9730769395828247,0.9960629940032959,121.0,506.0,0.9448878765106201,0.9624999761581421,0.0,6.0,0.18046638369560242,0.953125,1.0,32.0,122.0
11,0.960061252117157,0.9751166701316833,2.0,14.0,0.1251956671476364,0.9730769395828247,0.9960629940032959,121.0,506.0,0.9481233954429626,0.9624999761581421,0.0,6.0,0.18281473219394684,0.953125,1.0,32.0,122.0
12,0.9586833119392395,0.9751166701316833,2.0,14.0,0.1220155656337738,0.9730769395828247,0.9960629940032959,121.0,506.0,0.945966362953186,0.9624999761581421,0.0,6.0,0.17922481894493103,0.953125,1.0,32.0,122.0
13,0.9626421332359314,0.9766718745231628,2.0,13.0,0.12368278205394745,0.9749518036842346,0.9960629940032959,122.0,506.0,0.9468291401863098,0.9624999761581421,0.0,6.0,0.17931737005710602,0.953125,1.0,32.0,122.0
14,0.959186315536499,0.9766718745231628,2.0,13.0,0.1250523179769516,0.9749518036842346,0.9960629940032959,122.0,506.0,0.9462898969650269,0.9624999761581421,0.0,6.0,0.17885145545005798,0.953125,1.0,32.0,122.0
15,0.9577136039733887,0.9751166701316833,2.0,14.0,0.12445274740457535,0.9730769395828247,0.9960629940032959,121.0,506.0,0.955457329750061,0.9624999761581421,0.0,6.0,0.17413899302482605,0.953125,1.0,32.0,122.0
