epoch,auc,binary_accuracy,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_auc,val_binary_accuracy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.5576393604278564,0.6363636255264282,71.0,165.0,0.677590548992157,0.6845124363899231,0.8344988226890564,55.0,358.0,0.537677526473999,0.6481481194496155,0.0,57.0,0.6583688259124756,0.6481481194496155,1.0,0.0,105.0
1,0.5476266145706177,0.6610169410705566,0.0,220.0,0.6396880149841309,0.6610169410705566,1.0,0.0,429.0,0.5363408327102661,0.6481481194496155,0.0,57.0,0.6623809933662415,0.6481481194496155,1.0,0.0,105.0
2,0.537089467048645,0.6610169410705566,0.0,220.0,0.6409183144569397,0.6610169410705566,1.0,0.0,429.0,0.5514619946479797,0.6481481194496155,0.0,57.0,0.6597753763198853,0.6481481194496155,1.0,0.0,105.0
3,0.5489351153373718,0.6610169410705566,0.0,220.0,0.6399982571601868,0.6610169410705566,1.0,0.0,429.0,0.5377610921859741,0.6481481194496155,0.0,57.0,0.6582658886909485,0.6481481194496155,1.0,0.0,105.0
4,0.5472716689109802,0.6610169410705566,0.0,220.0,0.6395347714424133,0.6610169410705566,1.0,0.0,429.0,0.5496240854263306,0.6481481194496155,0.0,57.0,0.6623935699462891,0.6481481194496155,1.0,0.0,105.0
5,0.5383661985397339,0.6610169410705566,0.0,220.0,0.6410437226295471,0.6610169410705566,1.0,0.0,429.0,0.5369256734848022,0.6481481194496155,0.0,57.0,0.6608742475509644,0.6481481194496155,1.0,0.0,105.0
6,0.5394840240478516,0.6610169410705566,0.0,220.0,0.639957070350647,0.6610169410705566,1.0,0.0,429.0,0.5432748794555664,0.6481481194496155,0.0,57.0,0.6606192588806152,0.6481481194496155,1.0,0.0,105.0
7,0.5461803674697876,0.6610169410705566,0.0,220.0,0.6386516690254211,0.6610169410705566,1.0,0.0,429.0,0.535338282585144,0.6481481194496155,0.0,57.0,0.6604061722755432,0.6481481194496155,1.0,0.0,105.0
8,0.5403740406036377,0.6610169410705566,0.0,220.0,0.6398671865463257,0.6610169410705566,1.0,0.0,429.0,0.5220551490783691,0.6481481194496155,0.0,57.0,0.6600195169448853,0.6481481194496155,1.0,0.0,105.0
9,0.5444956421852112,0.6610169410705566,0.0,220.0,0.6391395330429077,0.6610169410705566,1.0,0.0,429.0,0.5339181423187256,0.6481481194496155,0.0,57.0,0.6609814763069153,0.6481481194496155,1.0,0.0,105.0
10,0.5359185934066772,0.6610169410705566,0.0,220.0,0.6402997970581055,0.6610169410705566,1.0,0.0,429.0,0.5305764675140381,0.6481481194496155,0.0,57.0,0.6596137881278992,0.6481481194496155,1.0,0.0,105.0
11,0.5474624037742615,0.6610169410705566,0.0,220.0,0.638168454170227,0.6610169410705566,1.0,0.0,429.0,0.5431913137435913,0.6481481194496155,0.0,57.0,0.6611053347587585,0.6481481194496155,1.0,0.0,105.0
12,0.5479656457901001,0.6610169410705566,0.0,220.0,0.6385587453842163,0.6610169410705566,1.0,0.0,429.0,0.5422723293304443,0.6481481194496155,0.0,57.0,0.6609349250793457,0.6481481194496155,1.0,0.0,105.0
13,0.5439552664756775,0.6610169410705566,0.0,220.0,0.6391419768333435,0.6610169410705566,1.0,0.0,429.0,0.5375939607620239,0.6481481194496155,0.0,57.0,0.6596134305000305,0.6481481194496155,1.0,0.0,105.0
14,0.5376615524291992,0.6610169410705566,0.0,220.0,0.6399503946304321,0.6610169410705566,1.0,0.0,429.0,0.5382623672485352,0.6481481194496155,0.0,57.0,0.6611167788505554,0.6481481194496155,1.0,0.0,105.0
15,0.5446333885192871,0.6610169410705566,0.0,220.0,0.6390887498855591,0.6610169410705566,1.0,0.0,429.0,0.5256474018096924,0.6481481194496155,0.0,57.0,0.6595422029495239,0.6481481194496155,1.0,0.0,105.0
16,0.5345517992973328,0.6610169410705566,0.0,220.0,0.6406315565109253,0.6610169410705566,1.0,0.0,429.0,0.5399332046508789,0.6481481194496155,0.0,57.0,0.659660816192627,0.6481481194496155,1.0,0.0,105.0
17,0.5402522087097168,0.6610169410705566,0.0,220.0,0.6391510367393494,0.6610169410705566,1.0,0.0,429.0,0.5408521890640259,0.6481481194496155,0.0,57.0,0.6605488657951355,0.6481481194496155,1.0,0.0,105.0
18,0.5351399183273315,0.6610169410705566,0.0,220.0,0.6397432088851929,0.6610169410705566,1.0,0.0,429.0,0.5531328916549683,0.6481481194496155,0.0,57.0,0.6599451899528503,0.6481481194496155,1.0,0.0,105.0
19,0.5410256385803223,0.6610169410705566,0.0,220.0,0.6393300294876099,0.6610169410705566,1.0,0.0,429.0,0.5418546199798584,0.6481481194496155,0.0,57.0,0.6602790355682373,0.6481481194496155,1.0,0.0,105.0
20,0.5397541522979736,0.6610169410705566,0.0,220.0,0.6390208601951599,0.6610169410705566,1.0,0.0,429.0,0.5450292229652405,0.6481481194496155,0.0,57.0,0.6599016785621643,0.6481481194496155,1.0,0.0,105.0
21,0.5442149043083191,0.6610169410705566,0.0,220.0,0.6386474967002869,0.6610169410705566,1.0,0.0,429.0,0.5523809790611267,0.6481481194496155,0.0,57.0,0.6594429016113281,0.6481481194496155,1.0,0.0,105.0
22,0.5406759977340698,0.6610169410705566,0.0,220.0,0.6391845345497131,0.6610169410705566,1.0,0.0,429.0,0.5464494824409485,0.6481481194496155,0.0,57.0,0.65948086977005,0.6481481194496155,1.0,0.0,105.0
23,0.5334022045135498,0.6610169410705566,0.0,220.0,0.6400542855262756,0.6610169410705566,1.0,0.0,429.0,0.5389306545257568,0.6481481194496155,0.0,57.0,0.6590530872344971,0.6481481194496155,1.0,0.0,105.0
