epoch,auc,binary_accuracy,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_auc,val_binary_accuracy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.6476191282272339,0.7189256548881531,31.0,869.0,0.5659028887748718,0.7250000238418579,0.9866494536399841,11.0,2291.0,0.7486415505409241,0.7412499785423279,0.0,207.0,0.5209659337997437,0.7412499785423279,1.0,0.0,593.0
1,0.7476702928543091,0.7251717448234558,0.0,880.0,0.5363536477088928,0.7251717448234558,1.0,0.0,2322.0,0.7680671215057373,0.7412499785423279,0.0,207.0,0.5125982165336609,0.7412499785423279,1.0,0.0,593.0
2,0.7683677673339844,0.7251717448234558,0.0,880.0,0.5284352898597717,0.7251717448234558,1.0,0.0,2322.0,0.7823806405067444,0.7412499785423279,0.0,207.0,0.5051530599594116,0.7412499785423279,1.0,0.0,593.0
3,0.7774779796600342,0.7251717448234558,0.0,880.0,0.5223516821861267,0.7251717448234558,1.0,0.0,2322.0,0.7941035032272339,0.7412499785423279,0.0,207.0,0.4978364109992981,0.7412499785423279,1.0,0.0,593.0
4,0.7815289497375488,0.7261086702346802,1.0,876.0,0.515889585018158,0.7259930968284607,0.9995693564414978,4.0,2321.0,0.7985678911209106,0.7412499785423279,0.0,207.0,0.4913882911205292,0.7412499785423279,1.0,0.0,593.0
5,0.7802672982215881,0.7345409393310547,1.0,849.0,0.510625422000885,0.732176661491394,0.9995693564414978,31.0,2321.0,0.8000016212463379,0.7425000071525574,0.0,206.0,0.485148549079895,0.7421777248382568,1.0,1.0,593.0
6,0.7756903171539307,0.7432854175567627,2.0,820.0,0.5067891478538513,0.7388535141944885,0.9991386532783508,60.0,2320.0,0.7993947267532349,0.75,0.0,200.0,0.48035484552383423,0.7477931976318359,1.0,7.0,593.0
7,0.7758774757385254,0.7467207908630371,6.0,805.0,0.5031926035881042,0.7420698404312134,0.9974160194396973,75.0,2316.0,0.7977328300476074,0.7562500238418579,0.0,195.0,0.47722920775413513,0.7525380849838257,1.0,12.0,593.0
8,0.7737547159194946,0.7570268511772156,4.0,774.0,0.49994251132011414,0.7496765851974487,0.9982773661613464,106.0,2318.0,0.7975291013717651,0.7612500190734863,1.0,190.0,0.47359251976013184,0.7570332288742065,0.9983136653900146,17.0,592.0
9,0.7726871967315674,0.7585883736610413,4.0,769.0,0.4985496699810028,0.750890851020813,0.9982773661613464,111.0,2318.0,0.7982582449913025,0.768750011920929,1.0,184.0,0.4710390567779541,0.7628865838050842,0.9983136653900146,23.0,592.0
10,0.7763203382492065,0.764834463596344,7.0,746.0,0.4945041537284851,0.7562887668609619,0.9969853758811951,134.0,2315.0,0.8002867698669434,0.7737500071525574,1.0,180.0,0.4666191339492798,0.7668393850326538,0.9983136653900146,27.0,592.0
11,0.776482105255127,0.7701436877250671,13.0,723.0,0.4919532239437103,0.7615435123443604,0.9944013953208923,157.0,2309.0,0.8028895854949951,0.7762500047683716,1.0,178.0,0.4647465646266937,0.768831193447113,0.9983136653900146,29.0,592.0
12,0.7797532081604004,0.7760774493217468,10.0,707.0,0.4881102740764618,0.7658165097236633,0.9956933856010437,173.0,2312.0,0.8047877550125122,0.7825000286102295,1.0,173.0,0.46139270067214966,0.7738562226295471,0.9983136653900146,34.0,592.0
13,0.7841166257858276,0.7888819575309753,18.0,658.0,0.4835859537124634,0.7778527736663818,0.9922480583190918,222.0,2304.0,0.8056024312973022,0.7925000190734863,1.0,165.0,0.4564085304737091,0.7820343375205994,0.9983136653900146,42.0,592.0
14,0.7799230217933655,0.7951280474662781,27.0,629.0,0.4834824502468109,0.7848837375640869,0.9883720874786377,251.0,2295.0,0.8054394721984863,0.7900000214576721,1.0,167.0,0.4565967321395874,0.7799736261367798,0.9983136653900146,40.0,592.0
15,0.7839964032173157,0.8054341077804565,31.0,592.0,0.4804234206676483,0.794658362865448,0.9866494536399841,288.0,2291.0,0.806632936000824,0.8062499761581421,3.0,152.0,0.451909601688385,0.7951482534408569,0.994940996170044,55.0,590.0
16,0.7876037359237671,0.8173016905784607,51.0,534.0,0.47623398900032043,0.8096256852149963,0.9780361652374268,346.0,2271.0,0.8063926100730896,0.8112499713897705,4.0,147.0,0.4509795904159546,0.80027174949646,0.9932546615600586,60.0,589.0
17,0.7877295017242432,0.8232354521751404,61.0,505.0,0.4749925434589386,0.8174259066581726,0.9737295508384705,375.0,2261.0,0.8056879043579102,0.824999988079071,4.0,136.0,0.44804638624191284,0.8124138116836548,0.9932546615600586,71.0,589.0
18,0.7890041470527649,0.8301061987876892,67.0,477.0,0.47235122323036194,0.8254026174545288,0.9711455702781677,403.0,2255.0,0.8078997135162354,0.8274999856948853,4.0,134.0,0.4465347230434418,0.8146611452102661,0.9932546615600586,73.0,589.0
19,0.7909389138221741,0.8301061987876892,79.0,465.0,0.47048303484916687,0.8282865285873413,0.9659776091575623,415.0,2243.0,0.8093742728233337,0.8399999737739563,5.0,123.0,0.4435247778892517,0.8270041942596436,0.9915682673454285,84.0,588.0
20,0.7918825745582581,0.8297938704490662,91.0,454.0,0.46897515654563904,0.8309124708175659,0.9608096480369568,426.0,2231.0,0.8077898025512695,0.8412500023841858,6.0,121.0,0.4429795742034912,0.8290960192680359,0.9898819327354431,86.0,587.0
21,0.7910992503166199,0.8251093029975891,108.0,452.0,0.46907728910446167,0.8304576277732849,0.9534883499145508,428.0,2214.0,0.81000155210495,0.8387500047683716,7.0,122.0,0.44095104932785034,0.8276836276054382,0.9881955981254578,85.0,586.0
22,0.7923483848571777,0.8288569450378418,108.0,440.0,0.4667828381061554,0.8342124819755554,0.9534883499145508,440.0,2214.0,0.8100830316543579,0.8387500047683716,6.0,123.0,0.4411860704421997,0.8267605900764465,0.9898819327354431,84.0,587.0
23,0.7919933199882507,0.8272954225540161,116.0,437.0,0.46644145250320435,0.834657609462738,0.9500430822372437,443.0,2206.0,0.8106695413589478,0.8450000286102295,6.0,118.0,0.43850570917129517,0.8326241374015808,0.9898819327354431,89.0,587.0
24,0.7897205948829651,0.8285446763038635,112.0,437.0,0.4660835564136505,0.8349074721336365,0.9517657160758972,443.0,2210.0,0.8101970553398132,0.8462499976158142,6.0,117.0,0.4389207065105438,0.8338068127632141,0.9898819327354431,90.0,587.0
25,0.7931925654411316,0.8329169154167175,114.0,421.0,0.46372750401496887,0.8398630619049072,0.950904369354248,459.0,2208.0,0.809569776058197,0.8550000190734863,8.0,108.0,0.43683287501335144,0.8441558480262756,0.9865092635154724,99.0,585.0
26,0.7921556234359741,0.8288569450378418,123.0,425.0,0.4636847674846649,0.8380335569381714,0.947028398513794,455.0,2199.0,0.8089710474014282,0.8550000190734863,9.0,107.0,0.4352836608886719,0.845151960849762,0.9848229289054871,100.0,584.0
