Species,model,Accuracy,Precision,f1,Recall,AUC,Specificity,cm_TN_tl,cm_FP_tr,cm_FN_bl,cm_TP_br,fi_gain_Area,fi_gain_Perim.,fi_gain_Feret,fi_gain_MinFeret,fi_gain_Circ.,fi_gain_AR,fi_gain_Round,fi_gain_Solidity,fi_gain_Mean_L,fi_gain_Mean_a,fi_gain_Mean_b,fi_gain_Mean_grey,fi_gain_Mean_core_grey,fi_gain_Dissimilarity,fi_gain_Contrast,fi_gain_Homogeneity,fi_gain_Energy,fi_gain_Correlation,fi_gain_ASM,fi_weight_Area,fi_weight_Perim.,fi_weight_Feret,fi_weight_MinFeret,fi_weight_Circ.,fi_weight_AR,fi_weight_Round,fi_weight_Solidity,fi_weight_Mean_L,fi_weight_Mean_a,fi_weight_Mean_b,fi_weight_Mean_grey,fi_weight_Mean_core_grey,fi_weight_Dissimilarity,fi_weight_Contrast,fi_weight_Homogeneity,fi_weight_Energy,fi_weight_Correlation,fi_weight_ASM
Alnus_glutinosa,names_all_features,0.9651741293532339,0.9738562091503268,0.9770491803278688,0.9802631578947368,0.9493152524167562,0.9183673469387755,45,4,3,149,8.187065124511719,4.588040828704834,3.89937162399292,4.199367523193359,3.990454912185669,2.3970210552215576,4.280440330505371,3.082662343978882,3.090346336364746,3.59728741645813,4.021503925323486,7.102199077606201,31.1510066986084,4.068394184112549,5.6344499588012695,6.9681549072265625,4.484926700592041,6.878299713134766,6.908628463745117,13.0,14.0,9.0,11.0,10.0,8.0,7.0,8.0,15.0,5.0,6.0,12.0,23.0,9.0,8.0,9.0,8.0,14.0,3.0
Betula_pendula,names_all_features,0.8292682926829268,0.8104575163398693,0.8763250883392226,0.9538461538461539,0.7835897435897436,0.6133333333333333,46,29,6,124,5.211886405944824,7.18858528137207,5.65617036819458,5.958025932312012,4.951332092285156,5.209692001342773,6.8081746101379395,5.402528285980225,5.39613151550293,5.536162853240967,5.654744625091553,5.89844274520874,53.0343132019043,5.840594291687012,5.608259201049805,5.940097808837891,5.957156181335449,6.217523574829102,7.373906135559082,27.0,31.0,51.0,44.0,35.0,54.0,16.0,35.0,51.0,43.0,81.0,39.0,95.0,25.0,29.0,34.0,43.0,63.0,26.0
Betula_pubescens,names_all_features,0.7386934673366834,0.7177914110429447,0.8181818181818181,0.9512195121951219,0.6729781771501926,0.39473684210526316,30,46,6,117,4.8721160888671875,5.149813175201416,5.486941814422607,13.33784008026123,6.761499404907227,6.463763236999512,NA,4.938754558563232,10.618179321289062,11.85339641571045,5.875242710113525,5.999972820281982,41.08671569824219,5.233473300933838,4.79754114151001,4.127449989318848,6.861683368682861,5.176856517791748,NA,6.0,13.0,8.0,45.0,55.0,54.0,NA,9.0,51.0,49.0,35.0,47.0,77.0,20.0,23.0,22.0,15.0,12.0,NA
Pinus_sylvestris,names_all_features,0.8232323232323232,0.8098159509202454,0.882943143812709,0.9705882352941176,0.7352941176470589,0.5,31,31,4,132,4.595765590667725,5.062925338745117,5.982501983642578,4.749721050262451,5.988101959228516,6.30712890625,4.142395496368408,10.892459869384766,6.1868414878845215,6.395956516265869,6.651379585266113,76.62692260742188,10.257607460021973,4.799394130706787,6.028282642364502,5.120924472808838,4.933541774749756,4.548462867736816,4.042499542236328,4.0,4.0,8.0,14.0,17.0,12.0,1.0,25.0,27.0,19.0,20.0,43.0,30.0,10.0,5.0,7.0,15.0,9.0,3.0
Sorbus_aucuparia,names_all_features,0.9154228855721394,0.9292929292929293,0.9558441558441558,0.983957219251337,0.4919786096256685,0.0,0,14,3,184,6.073341369628906,5.966009616851807,6.035773754119873,6.031442165374756,5.569110870361328,5.578088283538818,NA,6.0508503913879395,5.88850212097168,6.236546516418457,5.831573009490967,6.2702531814575195,5.624941349029541,5.872978687286377,5.706920146942139,6.5661301612854,5.713742256164551,6.255313873291016,6.434523582458496,63.0,51.0,54.0,61.0,68.0,62.0,NA,69.0,72.0,68.0,59.0,79.0,44.0,52.0,43.0,42.0,67.0,65.0,1.0
all_species,names_all_features,0.8625498007968128,0.856280193236715,0.9113110539845758,0.9739010989010989,0.7713708393056219,0.5688405797101449,157,119,19,709,6.65350866317749,6.266974925994873,6.410445690155029,8.85738468170166,6.19590425491333,6.770211696624756,4.128342151641846,6.098463535308838,6.955673694610596,8.839195251464844,7.186321258544922,14.461033821105957,30.482736587524414,8.976716041564941,8.192449569702148,7.873416423797607,6.62053108215332,6.359704971313477,5.850011348724365,119.0,127.0,104.0,162.0,184.0,178.0,1.0,119.0,205.0,204.0,200.0,271.0,316.0,106.0,127.0,87.0,137.0,172.0,7.0
Alnus_glutinosa,names_colour_features,0.7661691542288557,0.8034682080924855,0.8553846153846153,0.9144736842105263,0.610298066595059,0.30612244897959184,15,34,13,139,8.48848819732666,7.661806106567383,4.252007484436035,4.442131519317627,3.9986698627471924,3.6504855155944824,3.828674554824829,3.7707653045654297,6.287692070007324,4.573123455047607,4.286344528198242,NA,NA,6.3952202796936035,4.3774824142456055,6.02253532409668,5.63983154296875,6.389768600463867,5.778185844421387,854.0,364.0,351.0,478.0,249.0,288.0,60.0,330.0,514.0,326.0,375.0,NA,NA,354.0,237.0,345.0,325.0,473.0,87.0
Betula_pendula,names_colour_features,0.6048780487804878,0.6521739130434783,0.7216494845360825,0.8076923076923077,0.5305128205128204,0.25333333333333335,19,56,25,105,4.367953300476074,5.369490623474121,4.603972434997559,4.638752460479736,4.37932014465332,4.893921375274658,5.226872444152832,4.630525588989258,5.532233715057373,5.806929588317871,5.090214252471924,NA,NA,5.071059226989746,4.527346611022949,5.331331253051758,5.283369541168213,6.391201019287109,5.225054740905762,486.0,539.0,418.0,496.0,506.0,534.0,154.0,455.0,831.0,876.0,716.0,NA,NA,406.0,372.0,348.0,533.0,731.0,174.0
Betula_pubescens,names_colour_features,0.6482412060301508,0.6645962732919255,0.7535211267605634,0.8699186991869918,0.5796961916987591,0.2894736842105263,22,54,16,107,4.71464729309082,4.760120868682861,5.2904229164123535,5.07951021194458,4.632807731628418,6.072485446929932,6.4675774574279785,4.501964092254639,6.237072467803955,5.616358757019043,6.506899833679199,NA,NA,5.579373836517334,5.442493915557861,5.820010185241699,5.328548908233643,5.186155319213867,4.784707546234131,61.0,61.0,39.0,78.0,40.0,62.0,32.0,44.0,60.0,70.0,66.0,NA,NA,35.0,53.0,35.0,53.0,62.0,23.0
Pinus_sylvestris,names_colour_features,0.7676767676767676,0.78125,0.8445945945945946,0.9191176470588235,0.6773007590132827,0.43548387096774194,27,35,11,125,5.992499351501465,5.983445644378662,5.955536842346191,5.79266357421875,5.826616287231445,5.810665130615234,5.437517166137695,6.9494099617004395,6.2850141525268555,11.266397476196289,7.181382179260254,NA,NA,5.9513092041015625,6.142724514007568,5.7501702308654785,6.098464012145996,5.697272300720215,5.338283538818359,290.0,278.0,261.0,254.0,268.0,329.0,4.0,369.0,500.0,694.0,483.0,NA,NA,256.0,245.0,187.0,344.0,395.0,5.0
