"Species","Tree_N","Germination","Bin_germ","XGB_all","XGB_colour","XGB_xray","cnn_colour_pred","cnn_xray_pred"
"Alnus_glutinosa",1,"E",0,0,1,0,1,0
"Alnus_glutinosa",1,"E",0,0,1,0,1,0
"Alnus_glutinosa",1,"E",0,0,1,0,1,0
"Alnus_glutinosa",1,"E",0,0,1,0,1,0
"Alnus_glutinosa",1,"E",0,0,1,0,1,0
"Alnus_glutinosa",1,"G",1,1,1,1,1,1
"Alnus_glutinosa",1,"G",1,1,1,1,1,1
"Alnus_glutinosa",1,"G",1,1,1,1,1,1
"Alnus_glutinosa",1,"G",1,1,1,1,1,1
"Alnus_glutinosa",1,"E",0,0,1,0,1,0
"Alnus_glutinosa",1,"G",1,1,1,1,1,1
"Alnus_glutinosa",1,"E",0,0,1,0,1,0
"Alnus_glutinosa",1,"E",0,0,0,0,1,1
"Alnus_glutinosa",1,"G",1,1,1,1,1,1
"Alnus_glutinosa",1,"G",1,1,1,1,1,1
"Alnus_glutinosa",1,"G",1,1,1,1,1,1
"Alnus_glutinosa",1,"G",1,1,1,1,1,1
"Alnus_glutinosa",2,"G",1,1,1,1,1,1
"Alnus_glutinosa",2,"E",0,0,0,0,0,0
"Alnus_glutinosa",2,"G",1,1,1,1,1,1
"Alnus_glutinosa",2,"G",1,1,1,1,1,1
"Alnus_glutinosa",2,"G",1,1,1,1,1,1
"Alnus_glutinosa",2,"G",1,1,1,1,1,1
"Alnus_glutinosa",2,"G",1,1,1,1,1,1
"Alnus_glutinosa",2,"G",1,1,1,1,1,1
"Alnus_glutinosa",2,"E",0,0,1,0,1,0
"Alnus_glutinosa",2,"G",1,1,1,1,1,1
"Alnus_glutinosa",2,"G",1,1,1,1,1,1
"Alnus_glutinosa",2,"G",1,1,1,1,1,1
"Alnus_glutinosa",2,"G",1,1,1,1,1,1
"Alnus_glutinosa",2,"G",1,1,1,1,1,1
"Alnus_glutinosa",2,"G",1,1,1,1,1,1
"Alnus_glutinosa",2,"G",1,1,1,1,1,1
"Alnus_glutinosa",2,"G",1,1,1,1,1,1
"Alnus_glutinosa",2,"G",1,1,1,1,1,1
"Alnus_glutinosa",2,"E",0,0,1,0,1,0
"Alnus_glutinosa",2,"G",1,1,1,1,1,1
"Alnus_glutinosa",2,"G",1,1,1,1,1,1
"Alnus_glutinosa",2,"G",1,1,1,1,1,1
"Alnus_glutinosa",2,"G",1,1,1,1,1,1
"Alnus_glutinosa",2,"G",1,1,0,1,1,1
"Alnus_glutinosa",2,"G",1,1,1,1,1,1
"Alnus_glutinosa",2,"G",1,1,1,1,1,1
"Alnus_glutinosa",2,"G",1,1,1,1,1,1
"Alnus_glutinosa",2,"G",1,1,1,1,1,1
"Alnus_glutinosa",2,"G",1,1,1,1,1,1
"Alnus_glutinosa",3,"E",0,0,0,0,1,0
"Alnus_glutinosa",3,"G",1,1,1,1,1,1
"Alnus_glutinosa",3,"E",0,0,0,0,1,0
"Alnus_glutinosa",3,"G",1,1,1,1,1,1
"Alnus_glutinosa",3,"E",0,0,0,0,0,0
"Alnus_glutinosa",3,"G",1,1,1,1,1,1
"Alnus_glutinosa",3,"G",1,1,1,1,1,1
"Alnus_glutinosa",3,"E",0,0,1,0,1,0
"Alnus_glutinosa",3,"G",1,1,1,1,1,1
"Alnus_glutinosa",3,"G",1,1,1,1,1,1
"Alnus_glutinosa",3,"G",1,1,1,1,1,1
"Alnus_glutinosa",3,"G",1,1,1,1,1,1
"Alnus_glutinosa",3,"E",0,0,1,0,0,0
"Alnus_glutinosa",3,"E",0,0,1,0,1,0
"Alnus_glutinosa",3,"E",0,0,1,0,1,0
"Alnus_glutinosa",3,"G",1,1,1,1,1,1
"Alnus_glutinosa",3,"G",1,1,1,1,1,1
"Alnus_glutinosa",3,"G",1,1,1,1,1,1
"Alnus_glutinosa",3,"E",0,0,0,0,1,0
"Alnus_glutinosa",3,"G",1,1,1,1,1,1
"Alnus_glutinosa",3,"G",1,1,1,1,1,1
"Alnus_glutinosa",3,"G",1,1,1,1,1,1
"Alnus_glutinosa",3,"E",0,0,1,0,1,0
"Alnus_glutinosa",3,"G",1,1,1,1,1,1
"Alnus_glutinosa",3,"G",1,1,1,1,1,1
"Alnus_glutinosa",3,"G",1,1,1,1,1,1
"Alnus_glutinosa",3,"G",1,1,1,1,1,1
"Alnus_glutinosa",3,"E",0,0,1,0,1,0
"Alnus_glutinosa",3,"G",1,1,1,1,1,1
"Alnus_glutinosa",3,"E",0,0,1,0,1,0
"Alnus_glutinosa",3,"G",1,1,1,1,1,1
"Alnus_glutinosa",3,"G",1,1,1,1,1,1
"Alnus_glutinosa",3,"G",1,1,1,1,1,1
"Alnus_glutinosa",3,"E",0,0,1,0,1,0
"Alnus_glutinosa",3,"G",1,1,1,1,1,1
"Alnus_glutinosa",3,"E",0,0,0,0,0,0
"Alnus_glutinosa",3,"G",1,1,1,1,1,1
"Alnus_glutinosa",3,"E",0,0,1,0,1,0
"Alnus_glutinosa",3,"G",1,1,1,1,1,1
"Alnus_glutinosa",3,"G",1,1,1,1,1,1
"Alnus_glutinosa",3,"G",1,1,1,1,1,1
"Alnus_glutinosa",3,"G",1,1,1,1,1,1
"Alnus_glutinosa",3,"G",1,1,1,1,1,1
"Alnus_glutinosa",3,"G",1,0,1,1,1,1
"Alnus_glutinosa",3,"E",0,0,0,0,0,0
"Alnus_glutinosa",3,"G",1,1,0,1,1,1
"Alnus_glutinosa",4,"G",1,1,1,1,1,1
"Alnus_glutinosa",4,"G",1,1,1,1,1,1
"Alnus_glutinosa",4,"G",1,1,1,1,1,1
"Alnus_glutinosa",4,"G",1,1,1,1,1,1
"Alnus_glutinosa",4,"G",1,1,1,1,1,1
"Alnus_glutinosa",4,"G",1,1,1,1,1,1
"Alnus_glutinosa",4,"E",0,0,1,0,1,0
"Alnus_glutinosa",4,"G",1,1,1,1,1,1
"Alnus_glutinosa",4,"G",1,1,1,1,1,1
"Alnus_glutinosa",4,"G",1,1,1,1,1,1
"Alnus_glutinosa",4,"G",1,1,1,1,1,1
"Alnus_glutinosa",4,"E",0,0,1,0,1,0
"Alnus_glutinosa",4,"G",1,1,1,1,1,1
"Alnus_glutinosa",4,"M",0,1,1,1,1,1
"Alnus_glutinosa",4,"G",1,1,1,1,1,1
"Alnus_glutinosa",4,"G",1,1,1,1,1,1
"Alnus_glutinosa",4,"G",1,1,1,1,1,1
"Alnus_glutinosa",5,"M",0,1,1,1,1,1
"Alnus_glutinosa",5,"G",1,1,1,1,1,1
"Alnus_glutinosa",5,"G",1,1,1,1,1,1
"Alnus_glutinosa",5,"G",1,1,1,1,1,1
"Alnus_glutinosa",5,"G",1,1,1,1,1,1
"Alnus_glutinosa",5,"G",1,1,1,1,1,1
"Alnus_glutinosa",5,"G",1,1,1,1,1,1
"Alnus_glutinosa",5,"E",0,0,1,0,1,0
"Alnus_glutinosa",5,"G",1,1,1,1,1,1
