"Species","Trait","p_value","wilcox_stat","holm_adjusted_p_value","label"
"Alnus glutinosa","Mean_grey",1.27271675856454e-98,167173,1.27271675856454e-96,"*"
"Alnus glutinosa","Area",5.84227423564858e-26,126980,5.3748922967967e-24,"*"
"Alnus glutinosa","Perim.",2.56055178304781e-23,124736.5,2.27889108691255e-21,"*"
"Alnus glutinosa","Feret",7.21394356441132e-15,116470.5,6.20399146539373e-13,"*"
"Alnus glutinosa","MinFeret",3.24609569695113e-25,126360,2.92148612725602e-23,"*"
"Alnus glutinosa","Circ.",0.573742868740634,88947.5,1,""
"Alnus glutinosa","AR",2.69605327143076e-10,62721,2.21076368257322e-08,"*"
"Alnus glutinosa","Round",2.74642645072457e-10,110872,2.2246054250869e-08,"*"
"Alnus glutinosa","Solidity",0.369451969025529,83379.5,1,""
"Alnus glutinosa","Mean_L",9.8123789040313e-06,69943,0.000647617007666066,"*"
"Alnus glutinosa","Mean_a",1.00985463270162e-09,110092,8.07883706161298e-08,"*"
"Alnus glutinosa","Mean_b",0.0346337520087954,94858,1,""
"Alnus glutinosa","Mean_grey",1.27271675856454e-98,167173,1.27271675856454e-96,"*"
"Alnus glutinosa","Mean_core_grey",5.72905559060757e-98,166901,5.61447447879542e-96,"*"
"Alnus glutinosa","Contrast",0.00210617821713893,75077,0.115839801942641,""
"Alnus glutinosa","Dissimilarity",5.27089757157572e-06,69438,0.000363691932438725,"*"
"Alnus glutinosa","Homogeneity",1.12802915038015e-08,108576,8.91143028800315e-07,"*"
"Alnus glutinosa","Energy",0.00042410966442152,100242,0.0250224702008697,"*"
"Alnus glutinosa","Correlation",3.42316563487126e-08,107844,2.63583753885087e-06,"*"
"Alnus glutinosa","ASM",0.000439477738769879,100206,0.025489708848653,"*"
"Betula pendula","Mean_grey",0.770990210737216,118160,1,""
"Betula pendula","Area",0.10178216764146,109581,1,""
"Betula pendula","Perim.",0.0513716106337853,108192,1,""
"Betula pendula","Feret",0.751645226376095,115455,1,""
"Betula pendula","MinFeret",0.059002566557618,108460,1,""
"Betula pendula","Circ.",0.322130545892125,121271,1,""
"Betula pendula","AR",0.450687318591628,120221.5,1,""
"Betula pendula","Round",0.448190997715379,113488,1,""
"Betula pendula","Solidity",0.0711950762220038,124893,1,""
"Betula pendula","Mean_L",0.951983851075976,116595.5,1,""
"Betula pendula","Mean_a",2.72262602913007e-07,139748.5,1.98751700126495e-05,"*"
"Betula pendula","Mean_b",0.721830074347947,118449,1,""
"Betula pendula","Mean_grey",0.770990210737216,118160,1,""
"Betula pendula","Mean_core_grey",1.06217756619231e-69,195408,1.03031223920654e-67,"*"
"Betula pendula","Contrast",0.0269414969999032,107017,1,""
"Betula pendula","Dissimilarity",0.0280464230316919,107087,1,""
"Betula pendula","Homogeneity",0.0272063223825515,126694,1,""
"Betula pendula","Energy",8.74995965674217e-06,136652,0.000594997256658467,"*"
"Betula pendula","Correlation",2.01385228679632e-10,88556,1.67149739804095e-08,"*"
"Betula pendula","ASM",8.86964018831168e-06,136639,0.000594997256658467,"*"
"Betula pubescens","Mean_grey",1.41815391224538e-13,147951,1.20543082540857e-11,"*"
"Betula pubescens","Area",0.194527918810784,121292.5,1,""
"Betula pubescens","Perim.",0.851228900573953,114799.5,1,""
"Betula pubescens","Feret",0.651468258323435,117595.5,1,""
"Betula pubescens","MinFeret",0.000887728690714363,130152.5,0.0506005353707187,""
"Betula pubescens","Circ.",0.0245982885270893,125447.5,1,""
"Betula pubescens","AR",0.0284584888320544,106040.5,1,""
"Betula pubescens","Round",0.02840809461425,125202.5,1,""
"Betula pubescens","Solidity",0.745615338460823,117038.5,1,""
"Betula pubescens","Mean_L",0.00323200329278216,128495.5,0.171296174517454,""
"Betula pubescens","Mean_a",0.0001590451761885,132132,0.00986080092368697,"*"
"Betula pubescens","Mean_b",3.21678373543369e-05,133798,0.00202657375332323,"*"
"Betula pubescens","Mean_grey",1.41815391224538e-13,147951,1.20543082540857e-11,"*"
"Betula pubescens","Mean_core_grey",7.32048042401788e-26,161596.5,6.66163718585627e-24,"*"
"Betula pubescens","Contrast",0.466674803659739,118803,1,""
"Betula pubescens","Dissimilarity",0.565058633687462,118136,1,""
"Betula pubescens","Homogeneity",0.700709256673724,113939,1,""
"Betula pubescens","Energy",0.851319050250888,116440,1,""
"Betula pubescens","Correlation",0.994251557855842,115588,1,""
"Betula pubescens","ASM",0.853830197329011,116426,1,""
"Pinus sylvestris","Mean_grey",8.65429988653863e-60,181151.5,8.30812789107708e-58,"*"
"Pinus sylvestris","Area",0.139080778230521,117514.5,1,""
"Pinus sylvestris","Perim.",0.0837632116903593,103744.5,1,""
"Pinus sylvestris","Feret",0.0513513513038117,102803.5,1,""
"Pinus sylvestris","MinFeret",0.00101124949114251,125274,0.0566299715039803,""
"Pinus sylvestris","Circ.",1.83695925276105e-08,135312.5,1.43282821715362e-06,"*"
"Pinus sylvestris","AR",1.01793031362228e-05,92226,0.00065722839901674,"*"
"Pinus sylvestris","Round",1.01112061387191e-05,130112,0.00065722839901674,"*"
"Pinus sylvestris","Solidity",1.60352572447951e-20,150854.5,1.41110263754197e-18,"*"
"Pinus sylvestris","Mean_L",1.50678972887115e-07,88628,1.12682453123794e-05,"*"
"Pinus sylvestris","Mean_a",2.58923531742991e-29,62929,2.40798884520982e-27,"*"
"Pinus sylvestris","Mean_b",5.53049628212102e-19,72967,4.81153176544529e-17,"*"
"Pinus sylvestris","Mean_grey",8.65429988653863e-60,181151.5,8.30812789107708e-58,"*"
"Pinus sylvestris","Mean_core_grey",4.95215803279366e-55,178218.5,4.65502855082604e-53,"*"
"Pinus sylvestris","Contrast",0.00536499631584755,123115,0.273614812108225,""
"Pinus sylvestris","Dissimilarity",0.00360514984814672,123658,0.18746779210363,""
"Pinus sylvestris","Homogeneity",0.00243344866811578,98156,0.131406228078252,""
"Pinus sylvestris","Energy",0.286548002743859,106592,1,""
"Pinus sylvestris","Correlation",0.166348462758914,105226,1,""
"Pinus sylvestris","ASM",0.284236245549458,106570,1,""
"Sorbus aucuparia","Mean_grey",0.000240861973735133,42167,0.0146925803978431,"*"
"Sorbus aucuparia","Area",0.966451908431379,33580,1,""
"Sorbus aucuparia","Perim.",0.729992926470554,34297,1,""
"Sorbus aucuparia","Feret",0.155896843054535,36837.5,1,""
"Sorbus aucuparia","MinFeret",0.319819263040543,31126,1,""
"Sorbus aucuparia","Circ.",0.442575948291751,31663,1,""
"Sorbus aucuparia","AR",0.0170357314112166,39125,0.788228211710853,""
"Sorbus aucuparia","Round",0.0167708130151245,27821.5,0.788228211710853,""
"Sorbus aucuparia","Solidity",0.701225694132176,34388,1,""
"Sorbus aucuparia","Mean_L",0.0171045808959101,39121.5,0.788228211710853,""
"Sorbus aucuparia","Mean_a",0.00802119439626212,39752.5,0.401059719813106,""
"Sorbus aucuparia","Mean_b",0.014720162734713,39251,0.706567811266223,""
"Sorbus aucuparia","Mean_grey",0.000240861973735133,42167,0.0146925803978431,"*"
"Sorbus aucuparia","Mean_core_grey",0.0114176582726571,39465,0.559465255360197,""
"Sorbus aucuparia","Contrast",7.79176878147653e-08,20771,5.92174427392216e-06,"*"
"Sorbus aucuparia","Dissimilarity",1.50243270831725e-07,21054,1.12682453123794e-05,"*"
"Sorbus aucuparia","Homogeneity",4.06581302254558e-07,45465,2.92738537623282e-05,"*"
"Sorbus aucuparia","Energy",2.85798799087484e-06,44554,0.000200059159361239,"*"
"Sorbus aucuparia","Correlation",0.434341534364494,35330,1,""
